1.　一	Nhất		Số 1				1 gạch ngang
2.　ニ	Nhị			Số 2				2 gạch ngang
3.　三	Tam			Số 3				3 gạch ngang
4.　四	Tứ			Số 4				Chân chạy 4 góc
5.　五	Ngũ			Số 5				Tầng 15
6.　六	Lục			Số 6				Đầu năm phát lộc
7.　七	Thất		Số 7				Số 7 ngược
8.　八	Bát			Số 8				Chân đi hình chữ bát
9.　九	Cửu			Số 9				Giống chữ R
10.十	Thập		Số 10				Giống dấu cộng
11.百	Bách		Số 100				Trắng là được 100 điểm
12.千	Thiên		Nghìn				10 thêm 1 phẩy là 1000
13.円	Viên		Tiền yên, vòng tròn	
14.万	Vạn			10 nghìn			Phương thừa, vạn thụt
15.日	Nhật		Ngày				Hình mặt trời
16.月	Nguyệt		Tháng, Mặt trăng	Hình mặt trăng
17.行	Hành		Đi					Bị 1 cái đinh đè vào nhưng vẫn phải đi
18.母	Mẫu			Mẹ					
19.年	Niên		Năm					Nằm suốt 4 năm
20.先	Tiên		Tiên sinh, Trước	Cô tiên chân đất
21.上	Thượng		Bên trên			Hướng lên
22.下	Hạ			Bên dưới			Hướng xuống
23.左	Tả			Bên trái			Ta nói ê bạn là sai trái
24.右	Hữu			Bên phải			Ta mồm nói điều phải
25.石	Thạch		Đá					Đá thì phải nhẵn nhụi
26.友	Hữu			Bạn bè				Ta đi lại cùng bạn
27.有	Hữu			Có					Chị nguyệt có quả na
28.図	Đồ			Bản đồ				Đánh dấu x 2 điểm trong phạm vi bản đồ
29.前	Tiền		Trước				Em nguyệt cầm 21 đao đi trước
30.後	Hậu			Sau					Yêu thầm lặng lẽ bước phía sau
31.気	Khí			Nguyên khí			Khí làm người khác mê là nguyên khí
32.汽	Khí			Hơi nước			Khí có nước là hơi nước
33.東	Đông		Phía đông			Mặt trời lấp sau cái cây ở phía đông
34.西	Tây			Phía tây			Có 4 phía nhưng nhất định đi về phía tây
35.南	Nam			Phía nam			Lúc 10 giờ ở biên giới phía nam thiếu 1 con dê
36.北	Bắc			Phía bắc			Dựa tường cười hihi nhìn về phía bắc
37.人	Nhân		Người				
38.大	Đại			To lớn				Có 1 người rất to cao
39.犬	Khuyển		Con chó				Con chó to có 1 đốm ở lưỡi
40.太	Thái		Béo					Vừa to vừa béo
41.天	Thiên		Trời				To lớn nhất là trời
42.矢	Thỉ			Mũi tên				Mũi tên bắn lên trời
43.夫	Phu			Chồng				Cao hơn trời là chồng
44.失	Thất		Thất bại			Lấy chồng là thất bại
45.水	Thủy		Nước				Giống như giọt nước bắn sang 2 bên
46.火	Hỏa			Lửa					Người vẫy tay khi lửa cháy
47.木	Mộc			Cây					Hình cái cây
48.金	Kim			Tiền, vàng			Người làm vua có 2 túi tiền
49.夕	Tịch		Chiều tối			Giống chữ ta trong katakana
50.風	Phong		Gió					Có 1 con côn trùng đang nấp dưới ghế để tránh gió
51.和	Hòa			Hòa bình			Thoải mái lúa gạo đưa vào mồm là thời hòa bình
52.田	Điền		Ruộng				Giống hình ruộng lúa
53.山	Sơn			Núi					Hình ngọn núi
54.川	Xuyên		Sông				Sông có 3 dòng nước
55.口	Khẩu		Cái miệng			Hình cái miệng
56.小	Tiểu		Nhỏ					Người co tay lại trong sẽ nhỏ
57.子	Tử			Con					Kết thúc 1 cuộc tình là có đứa con
58.女	Nữ			Phụ nữ				Phụ nữ không được phân biệt lớn nhỏ
59.物	Vật			Động vật			Trâu vật là động vật
60.手	Thủ			Cái tay				Có 3 cái lông ở tay trái
61.毛	Mao			Lông				Có 3 cái lông ở tay phải
62　足	Túc			Chân				Người hạ nhân mồm nói chân đi
63.走	Tẩu			Chạy				Đang chạy dưới đất là hạ nhân
64.入	Nhập		Đi vào				Ngược với chữ nhân
65.込	Nhập		Đông đúc			Đi vào nhiều dẫn đến đông đúc
66.耳	Nhĩ			Tai					Tai dài hơn mắt
67.恥	Sỉ			Xấu hổ				Tai đỏ vì trong tâm xấu hổ
68.心	Tâm			Trái tim			Một vầng trăng khuyết 3 sao giữa trời
69.社	Xã			Xã hội				Xã hội đích thị nhiều đất
70.光	Quang		Sáng				Người có 1 đôi chân đẹp sẽ tỏa sáng
71.当	Đương		Đương nhiên			Em xinh đẹp tỏa sáng là đương nhiên
72.酒	Tửu			Rượu				Ở tây rượu mà có nước với 1 lớp cặn là rượu ngon
73.画	Họa, hoạch	Họa sĩ				Một khi được tự do thì tôi sẽ há miệng nói về kế hoạch của mình
74.回	Hồi			Quay lại			Mồm nói liên hồi
75.向	Hướng		Hướng về			Mồm đang hướng về phía biên giới
76.馬	Mã			Con ngựa			
77.鼻	Tịch		Cái mũi				Tự làm ruộng chắp tay thở bằng mũi
78.竹	Trúc		Tre					Cười keke khi nhìn thấy trúc
79.村	Thôn		Làng				Trong thôn trồng toàn cây thốn
80.貝	Bối			Con sò				Con sò có 8 cái mắt
81.片	Phiến		Tấm, mảnh			Tớ có 4 tấm gỗ
82.匹	Thất		Đếm con vật			Đếm xem con vật trong tủ đựng có mấy chân
83.刀	Đao			Con đao				Giống hình cây đao
84.穴	Huyệt		Cái lỗ				Trên mái nhà có 8 cái lỗ
85.氏	Thị			Họ					Em là người có họ tên

1.言		Ngôn		Nói					Mồm đang Nói
2.信		Tín			Tin tưởng			Người quen nói thì sẽ Tin tưởng
3.語		Ngữ			Ngôn ngữ			Mồm nói 5 Ngôn Ngữ
4.悟		Ngộ			Giác ngộ			5 cái Mồm thì Tâm sẽ Giác ngộ

1.米		Mễ			Gạo					Cây trổ bông là Gạo
2.来		Lai			Tương lai			Có 1 loại gạo trong Tương lai
3.迷		Mê			Bị lạc				Ăn nhiều Gạo Dẫn tới bị Mê
4.謎		Mê			Câu đố				Lời Nói Mê hoặc là Câu đố

1.門		Môn			Cổng				Giống cái Cổng
2.閑		Nhàn		Nhàn hạ				Trông Cây trước Cổng thì Nhàn hạ
3.聞		Văn			Nghe				Dưới Cổng có cái Tai đang Nghe
4.問		Vấn			Hỏi					Dưới Cổng có cái Mồm đang Hỏi	
5.開		Khai		Mở					Chắp 2 tay Mở Cổng
6.閉		Bế			Đóng				Ô cái Cổng đang Đóng
7.間		Gian		Thời gian			Ở bên Nhật có cái Cổng Thời gian
8.簡		Giản		Đơn giản			Trồng Trúc thì mất Thời gian chứ không Đơn giản

1.立		Lập			Đứng				Đứng Đầu 21 ngày
2.位		Vị			Vị trí				Người đứng đúng Vị trí
3.泣		Khấp		Khóc				Người Đứng ra Nước là đang Khóc
4.粒		Lạp			Hạt, hột			Hạt Gạo Đứng

1.音		Âm			Âm thanh			Đứng ở Nhật nhờ về Âm thanh quê hương
2.暗		Ám			Ám ảnh				Âm thanh ồn ào cả Ngày gây Ám ảnh
3.闇		Ám			U ám				Âm thanh phía sau Cổng rất U ám
4.意		Ý			Ý kiến				Âm thanh trong Tâm là Ý kiến của mình
5.億		Ức			100 triệu			Người đứng có ý kiến 100 triệu
6.憶		Ức			Ký ức				Nhứng Ý trong Tâm giờ đã thành Ký ức
7.臆		Ức			Rụt rè				Nguyệt có Ý kiến nhưng Rụt rè

1.林		Lâm			Rừng thưa			2 Cây là Rừng thưa
2.森		Sâm			Rừng rậm			3 Cây là Rừng rậm
3.保		Bảo			Bảo hiểm			Người đứng Mồm cắm vào Cây là có Bảo hiểm
4.褒		Bao			Khen ngợi			Làm Bảo hiểm Y như rằng được khen
5.休		Hưu			Nghỉ				Người dựa Cây là đang Nghỉ ngơi
