億	Ức		100 triệu
兆	Triệu	1000 tỉ
地	Địa		Đất
池	Trì		Cái ao
汽	Khí		Hơi nước
気	Khí		Không khí
仕	Sĩ		Công việc
了	Liễu	Kết thúc
字	Tự		Chữ
夫	Phu		Chồng
丈	Trượng	Trượng phu
村	Thôn	Làng
覚	Giác	Nhớ ra
組	Tổ		Tổ chức
豆	Đậu		Hạt đậu
頭	Đầu		Cái đầu
思	Tư		Suy nghĩ
細	Tế		Tế bào
紙	Chỉ		Tờ giấy
込	Nhập	Đông đúc
正	Chính	Chính xác
早	Tảo		Sớm
草	Thảo	Cỏ
茶	Trà		Trà xanh
青	Thanh	Xanh nước biển
赤	Xích	Màu đỏ
晩	Vãn		Buổi tối
才	Tài		Thiên tài
丁	Đinh	Can thứ 4
黒	Hắc		Màu đen
社	Xã		Xã hội
礼	Lễ		Lễ nghi
光	Quang	Sáng
斗	Đấu		Cái đấu
科	Khoa	Khoa học
料	Liệu	Nguyên liệu
画	Họa		Hội họa
面	Diện	Bề mặt
絵	Hội		Hội họa
同	Đồng	Đồng dạng
州	Châu	Châu lục
角	Giác	Góc
究	Cứu		Nghiên cứu
顔	Nhan	Khuôn mặt
聞	Văn		Nghe
鳴	Minh	Kêu réo
任	Nhiệm	Trách nhiệm
舟	Chu		Thuyền nhỏ
強	Cường	Khỏe
引	Dẫn		Kéo ra
考	Khảo	Suy nghĩ
斤	Cân		Đơn vị đo, rìu
研	Nghiên	Nghiên cứu
尸	Thi		Thây ma
戸	Hộ		Cánh cửa
番	Phiên	Lần lượt
原	Nguyên	Nguyên nhân
谷	Cốc		Thung lũng
道	Đạo		Con đường
食	Thực	Ăn
数	Số		Số liệu, chữ số
室	Thất	Phòng
埋	Mai		Chôn
予	Dự		Dự báo
野	Dã		Hoang dã
点	Điểm	Điểm số
計	Kế		Kế hoạch
船	Thuyền	Cái thuyền
答	Đáp		Đáp án
革	Cách	Cải cách
敗	Bại		Thất bại
負	Phụ		Thua
餌󠄀	Nhị		Mồi câu
秩	Trật	Trật tự
鉄	Thiết	Sắt
駄	Đà		Thồ hàng
伏	Phục	Phục kích
献	Hiến	Dâng hiến
飛	Phi		Bay
畑	Điền	Ruộng
促	Xúc		Xúc tiến
徒	Đồ		Sinh đồ
労	Lao		Lao động
励	Lệ		Khích lệ
筋	Cân		Bắp thịt
企	Xí		Xí nghiệp
政	Chính	Chính trị
愁	Sầu		Buồn
終	Chung	Kết thúc
必	Tất		Tất yếu
歳	Tuế		Tuổi
札	Trát	Tiền giấy
刷	Loát	In ấn
河	Hà		Sông
荷	Hà		Hành lý
苛	Hà		Bắt nạt
忠	Trung	Trung thực
沖	Trùng	Rộng lớn
吹	Xúy		Thổi
炊	Xúy		Đun nấu
宿	Túc		Trọ lại
技	Kĩ		Kĩ thuật
伎	Kĩ		Kĩ nghệ
岐	Kì		Phân nhánh
洗	Tẩy		Rửa
観	Quan	Quan sát
